ID,Name,Activity,Start,Finish,PGMA,System,MU
,MOBILIZATION BY AGENCY AT SITE,ORD,2023-02-09,2023-02-28,,Award of Sub-Contracts by PS-RegionCivil -PH-+X-mer Yard-+ESP/FGD Control Room+ DG building  + Levelling & Grading+ Below ground dismantling work,PSWR
,Switch Yard+ 33 Kv SWGR + Levelling & Grading+ Below ground dismantling work,OTH,2022-11-25,2023-03-30,,Award of Sub-Contracts by PS-RegionCivil,PSWR
,NIT,ENQ,2022-11-25,2022-11-25,,Award of Sub-Contracts by PS-RegionSwitch Yard+  Kv SWGR + Levelling & Grading+ Below ground dismantling work,PSWR
,LOI,ORD,2022-11-26,2023-01-24,,Award of Sub-Contracts by PS-RegionSwitch Yard+  Kv SWGR + Levelling & Grading+ Below ground dismantling work,PSWR
,MOBILIZATION BY AGENCY AT SITE,ORD,2023-03-11,2023-03-30,,Award of Sub-Contracts by PS-RegionSwitch Yard+  Kv SWGR + Levelling & Grading+ Below ground dismantling work,PSWR
,Civil for Coal Handling Plant (CHP),OTH,2022-11-25,2023-03-30,,Award of Sub-Contracts by PS-RegionCivil,PSWR
,NIT,ENQ,2022-11-25,2022-11-25,,Award of Sub-Contracts by PS-RegionCivil for Coal Handling Plant CHP,PSWR
,LOI,ORD,2022-11-26,2023-01-24,,Award of Sub-Contracts by PS-RegionCivil for Coal Handling Plant CHP,PSWR
,MOBILIZATION BY AGENCY AT SITE,ORD,2023-03-11,2023-03-30,,Award of Sub-Contracts by PS-RegionCivil for Coal Handling Plant CHP,PSWR
,Civil for Ash Handling Plant (AHP),OTH,2023-04-24,2023-08-27,,Award of Sub-Contracts by PS-RegionCivil,PSWR
,NIT,ENQ,2023-04-24,2023-04-24,,Award of Sub-Contracts by PS-RegionCivil for Ash Handling Plant AHP,PSWR
,LOI,ORD,2023-04-25,2023-06-23,,Award of Sub-Contracts by PS-RegionCivil for Ash Handling Plant AHP,PSWR
,MOBILIZATION BY AGENCY AT SITE,ORD,2023-08-08,2023-08-27,,Award of Sub-Contracts by PS-RegionCivil for Ash Handling Plant AHP,PSWR
,NDCT cooling Tower,OTH,2022-11-25,2023-03-30,,Award of Sub-Contracts by PS-RegionCivil,PSWR
,NIT,ENQ,2022-11-25,2022-11-25,,Award of Sub-Contracts by PS-RegionNDCT cooling Tower,PSWR
,LOI,ORD,2022-11-26,2023-01-24,,Award of Sub-Contracts by PS-RegionNDCT cooling Tower,PSWR
,MOBILIZATION BY AGENCY AT SITE,ORD,2023-03-11,2023-03-30,,Award of Sub-Contracts by PS-RegionNDCT cooling Tower,PSWR
,Balance BOPs civil,OTH,2023-04-24,2023-07-13,,Award of Sub-Contracts by PS-RegionCivil,PSWR
,NIT,ENQ,2023-04-24,2023-04-24,,Award of Sub-Contracts by PS-RegionBalance BOPs civil,PSWR
,LOI,ORD,2023-04-25,2023-06-23,,Award of Sub-Contracts by PS-RegionBalance BOPs civil,PSWR
,MOBILIZATION BY AGENCY AT SITE,ORD,2023-06-24,2023-07-13,,Award of Sub-Contracts by PS-RegionBalance BOPs civil,PSWR
